date,symbol,direction,action,score,regime,market_conf,regime_fit,rel_opp,risk_penalty,rsi,entry_price,t1_pnl,t3_pnl,t5_pnl,t1_win,t3_win,t5_win
2025-12-22,QQQ,LONG,IGNORE,44.2,neutral,14.0,8.5,0.7,0.0,48.3,619.21,0.468,0.756,0.036,1,1,1
2025-12-22,NVDA,LONG,IGNORE,47.1,neutral,14.0,8.5,3.6,0.0,52.6,183.68,3.005,3.724,2.096,1,1,1
2025-12-22,XOM,LONG,IGNORE,44.7,neutral,14.0,8.5,1.2,0.0,57.8,117.37,1.075,0.813,2.404,1,1,1
2025-12-22,MSFT,LONG,IGNORE,43.3,neutral,11.0,8.5,2.8,0.0,46.2,483.82,0.398,0.575,0.528,1,1,1
2025-12-22,AAPL,SHORT,IGNORE,41.5,neutral,11.0,7.5,4.5,2.5,17.7,270.72,-0.513,-0.897,-0.779,0,0,0
2025-12-22,GOOGL,SHORT,IGNORE,42.3,neutral,11.0,7.5,2.8,0.0,45.1,309.56,-1.475,-1.204,-1.314,0,0,0
2025-12-22,META,LONG,MONITOR,49.4,neutral,14.0,8.5,5.9,0.0,56.2,660.93,0.52,0.271,0.673,1,1,1
2025-12-22,AMZN,SHORT,IGNORE,44.0,neutral,11.0,7.5,4.5,0.0,40.3,228.43,-1.624,-1.79,-1.795,0,0,0
2025-12-22,TSLA,LONG,IGNORE,47.7,neutral,14.0,8.5,4.2,0.0,70.0,488.73,-0.649,-2.77,-7.018,0,0,0
2025-12-22,JPM,LONG,IGNORE,45.5,neutral,14.0,8.5,2.0,0.0,62.5,321.64,0.879,1.492,0.102,1,1,1
2025-12-22,BAC,LONG,IGNORE,40.0,neutral,11.0,8.5,2.0,2.5,75.0,55.57,0.161,0.519,-1.074,1,1,0
2025-12-22,GS,LONG,IGNORE,39.2,neutral,11.0,8.5,1.2,2.5,75.5,894.29,0.301,0.894,-1.622,1,1,0
2025-12-22,PLTR,LONG,MONITOR,49.4,neutral,14.0,8.5,5.9,0.0,71.5,193.98,0.077,-2.717,-6.774,1,0,0
2025-12-22,NFLX,SHORT,IGNORE,44.8,neutral,11.0,7.5,7.8,2.5,16.3,93.23,-0.29,-1.33,-0.59,0,0,0
2025-12-22,COIN,SHORT,IGNORE,47.8,neutral,11.0,7.5,9.8,1.5,40.4,247.9,2.259,4.437,6.575,1,1,1
2025-12-22,SOFI,SHORT,IGNORE,44.3,neutral,11.0,7.5,4.8,0.0,39.0,27.35,0.585,1.024,2.888,1,1,1
2025-12-22,ARM,SHORT,MONITOR,55.0,neutral,14.0,7.5,15.0,2.5,19.6,113.29,1.121,2.666,2.145,1,1,1
2025-12-22,UNH,SHORT,MONITOR,53.1,neutral,17.0,7.5,7.6,0.0,52.2,322.65,0.111,-2.051,-2.153,1,0,0
2025-12-22,LMT,LONG,IGNORE,42.5,neutral,11.0,8.5,4.5,2.5,79.7,481.03,-0.211,-0.112,0.916,0,0,1
2025-12-22,AVGO,SHORT,IGNORE,42.8,neutral,11.0,7.5,4.8,1.5,35.8,341.45,-2.305,-3.128,-2.46,0,0,0
2025-12-22,TSM,LONG,IGNORE,45.3,neutral,14.0,8.5,1.8,0.0,51.4,292.46,1.251,3.26,2.148,1,1,1
2025-12-22,GLD,LONG,IGNORE,41.8,neutral,14.0,8.5,0.8,2.5,89.5,408.23,1.325,2.085,-2.288,1,1,0
2025-12-22,AMD,LONG,MONITOR,48.3,neutral,14.0,8.5,4.8,0.0,49.7,214.95,-0.023,0.019,0.181,0,1,1
2025-12-22,WMT,SHORT,IGNORE,45.7,neutral,14.0,7.5,3.2,0.0,51.3,112.6,1.51,0.764,0.604,1,1,1
2025-12-22,IWM,LONG,IGNORE,45.5,neutral,14.0,8.5,2.0,0.0,65.0,253.13,-0.592,-0.852,-2.189,0,0,0
2025-12-22,TLT,SHORT,IGNORE,43.8,neutral,14.0,7.5,1.3,0.0,37.4,86.74,-0.16,-0.435,-0.572,0,0,0
2025-12-22,SMH,LONG,IGNORE,46.3,neutral,14.0,8.5,2.8,0.0,50.9,359.7,0.962,1.713,1.004,1,1,1
2025-12-22,XLF,LONG,IGNORE,38.7,neutral,11.0,8.5,0.7,2.5,80.6,55.32,0.199,0.542,-0.253,1,1,0
2025-12-22,LLY,LONG,MONITOR,48.0,neutral,14.0,8.5,4.5,0.0,57.6,1074.69,-0.45,0.118,0.304,0,1,1
2025-12-22,COST,SHORT,IGNORE,41.5,neutral,11.0,7.5,4.5,2.5,13.6,848.84,-0.564,-2.747,-1.841,0,0,0
2025-12-23,QQQ,LONG,IGNORE,43.7,neutral,14.0,8.0,0.7,0.0,49.5,622.11,0.293,-0.199,-1.254,1,0,0
2025-12-23,NVDA,LONG,IGNORE,47.4,neutral,14.0,8.0,5.9,1.5,60.4,189.2,-0.317,-0.523,-1.432,0,0,0
2025-12-23,XOM,LONG,IGNORE,45.0,neutral,14.0,8.0,2.0,0.0,54.8,118.63,-0.167,0.929,0.77,0,1,1
2025-12-23,MSFT,LONG,IGNORE,45.8,neutral,14.0,8.0,2.8,0.0,58.2,485.74,0.24,0.051,-0.663,1,1,0
2025-12-23,AAPL,SHORT,IGNORE,36.5,neutral,8.0,8.0,2.0,2.5,24.3,272.11,-0.532,-0.514,0.184,0,0,1
2025-12-23,GOOGL,LONG,IGNORE,44.2,neutral,14.0,8.0,1.2,0.0,45.8,314.13,-0.083,-0.251,-0.429,0,0,0
2025-12-23,META,LONG,IGNORE,44.8,neutral,14.0,8.0,1.8,0.0,61.1,664.37,0.393,-0.94,-0.729,1,0,0
2025-12-23,AMZN,LONG,IGNORE,47.5,neutral,14.0,8.0,4.5,0.0,49.6,232.14,0.103,-0.03,-0.569,1,0,0
2025-12-23,TSLA,LONG,IGNORE,43.2,neutral,11.0,8.0,3.2,0.0,64.4,485.56,-0.033,-5.338,-7.381,0,0,0
2025-12-23,JPM,LONG,IGNORE,44.2,neutral,14.0,8.0,1.2,0.0,61.6,324.47,0.994,-0.669,-1.138,1,0,0
2025-12-23,BAC,LONG,IGNORE,44.2,neutral,14.0,8.0,1.2,0.0,71.1,55.66,0.5,-1.108,-1.733,1,0,0
